row/col;peterreilly;bodewig;stevel;antoine;conor;mbenson;umagesh;jhm;sbailliez;jglick;jkf;bruce;scohen;ddevienne;alexeys;kevj
peterreilly;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
bodewig;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
stevel;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
antoine;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
conor;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1
mbenson;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
umagesh;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0
jhm;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1
sbailliez;1;1;1;1;0;1;0;0;1;1;1;0;0;0;0;1
jglick;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
jkf;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
bruce;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1
scohen;1;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1
ddevienne;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1
alexeys;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1
kevj;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
