"row/col";"alexeys";"bruce";"stevel";"mbenson";"jhm";"jglick";"antoine";"ddevienne";"kevj";"conor";"sbailliez";"peterreilly";"bodewig";"jkf"
"alexeys";"6.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"4.0";"3.0";"9.0";"1.0"
"bruce";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0"
"stevel";"1.0";"1.0";"2.0";"0.0";"1.0";"2.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"3.0";"1.0"
"mbenson";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0"
"jhm";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"1.0";"1.0";"1.0"
"jglick";"1.0";"0.0";"2.0";"0.0";"1.0";"12.0";"1.0";"1.0";"2.0";"0.0";"0.0";"1.0";"2.0";"1.0"
"antoine";"1.0";"0.0";"1.0";"0.0";"1.0";"1.0";"2.0";"1.0";"1.0";"1.0";"3.0";"2.0";"1.0";"1.0"
"ddevienne";"1.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"2.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0"
"kevj";"1.0";"0.0";"1.0";"0.0";"1.0";"2.0";"1.0";"1.0";"2.0";"1.0";"1.0";"1.0";"1.0";"2.0"
"conor";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"2.0";"0.0";"1.0";"1.0";"0.0"
"sbailliez";"4.0";"0.0";"1.0";"0.0";"0.0";"0.0";"3.0";"1.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0"
"peterreilly";"3.0";"0.0";"1.0";"1.0";"1.0";"1.0";"2.0";"1.0";"1.0";"1.0";"1.0";"2.0";"1.0";"1.0"
"bodewig";"9.0";"1.0";"3.0";"1.0";"1.0";"2.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"2.0";"3.0"
"jkf";"1.0";"1.0";"1.0";"0.0";"1.0";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"1.0";"3.0";"0.0"
