"row/col";"alexeys";"bruce";"umagesh";"stevel";"mbenson";"jhm";"jglick";"antoine";"ddevienne";"kevj";"conor";"sbailliez";"peterreilly";"bodewig";"jkf"
"alexeys";"120.0";"4.0";"0.0";"27.0";"2.0";"4.0";"10.0";"15.0";"22.0";"8.0";"12.0";"4.0";"16.0";"44.0";"2.0"
"bruce";"4.0";"26.0";"0.0";"13.0";"0.0";"2.0";"4.0";"11.0";"5.0";"6.0";"10.0";"1.0";"11.0";"9.0";"1.0"
"umagesh";"0.0";"0.0";"25.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"3.0";"0.0"
"stevel";"27.0";"13.0";"0.0";"920.0";"4.0";"47.0";"26.0";"66.0";"62.0";"52.0";"34.0";"10.0";"83.0";"205.0";"10.0"
"mbenson";"2.0";"0.0";"0.0";"4.0";"836.0";"0.0";"2.0";"11.0";"3.0";"0.0";"0.0";"0.0";"14.0";"15.0";"0.0"
"jhm";"4.0";"2.0";"0.0";"47.0";"0.0";"749.0";"3.0";"18.0";"11.0";"16.0";"8.0";"2.0";"52.0";"76.0";"1.0"
"jglick";"10.0";"4.0";"0.0";"26.0";"2.0";"3.0";"153.0";"24.0";"11.0";"17.0";"8.0";"1.0";"19.0";"35.0";"3.0"
"antoine";"15.0";"11.0";"0.0";"66.0";"11.0";"18.0";"24.0";"717.0";"47.0";"26.0";"35.0";"5.0";"83.0";"164.0";"11.0"
"ddevienne";"22.0";"5.0";"0.0";"62.0";"3.0";"11.0";"11.0";"47.0";"472.0";"18.0";"20.0";"5.0";"74.0";"117.0";"3.0"
"kevj";"8.0";"6.0";"0.0";"52.0";"0.0";"16.0";"17.0";"26.0";"18.0";"295.0";"14.0";"6.0";"22.0";"63.0";"6.0"
"conor";"12.0";"10.0";"0.0";"34.0";"0.0";"8.0";"8.0";"35.0";"20.0";"14.0";"146.0";"3.0";"34.0";"51.0";"4.0"
"sbailliez";"4.0";"1.0";"0.0";"10.0";"0.0";"2.0";"1.0";"5.0";"5.0";"6.0";"3.0";"51.0";"9.0";"14.0";"0.0"
"peterreilly";"16.0";"11.0";"3.0";"83.0";"14.0";"52.0";"19.0";"83.0";"74.0";"22.0";"34.0";"9.0";"1394.0";"184.0";"4.0"
"bodewig";"44.0";"9.0";"3.0";"205.0";"15.0";"76.0";"35.0";"164.0";"117.0";"63.0";"51.0";"14.0";"184.0";"2207.0";"21.0"
"jkf";"2.0";"1.0";"0.0";"10.0";"0.0";"1.0";"3.0";"11.0";"3.0";"6.0";"4.0";"0.0";"4.0";"21.0";"192.0"
